Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
29,France,153.2,81.5,45.4,78.8,69.1,10.8,35.0,42.8,90.3,2024M
30,Singapore,153.2,85.9,76.9,70.9,85.9,15.7,41.7,33.0,57.5,2024M
31,Latvia,152.6,50.3,62.7,62.7,51.0,8.6,29.2,30.9,74.7,2024M
32,Saudi Arabia,150.7,98.7,75.7,61.4,50.1,2.9,29.8,63.2,41.4,2024M
33,Slovakia,148.2,51.2,68.7,59.7,47.5,13.0,27.6,37.3,78.1,2024M
34,Israel,147.2,76.3,67.8,73.6,70.0,14.7,36.6,57.0,94.0,2024M
35,Cyprus,146.5,52.6,67.4,55.3,59.2,7.2,22.8,55.5,93.3,2024M
36,Taiwan,144.9,67.8,83.9,85.9,53.3,22.1,31.5,65.0,84.1,2024M
37,Italy,140.3,63.8,52.7,65.9,61.0,9.2,33.0,54.6,90.8,2024M
38,Poland,139.6,59.9,70.8,58.9,44.7,11.8,32.0,54.6,75.9,2024M
39,South Korea,138.1,83.5,74.7,83.0,69.2,20.3,39.8,62.2,68.4,2024M
40,South Africa,136.9,78.1,24.5,63.5,34.5,3.3,39.0,56.6,96.0,2024M
41,Uruguay,136.2,40.6,48.1,68.6,61.0,11.1,36.9,42.8,98.0,2024M
42,Hungary,131.6,48.4,66.2,54.2,48.0,14.6,35.4,47.9,79.5,2024M
43,Bulgaria,131.4,49.2,62.5,56.9,40.3,8.7,29.2,63.8,82.8,2024M
44,Romania,129.9,47.5,67.2,56.4,38.4,11.1,33.4,58.9,77.2,2024M
45,Kuwait,129.7,106.9,67.4,58.1,46.1,9.3,35.1,67.9,20.2,2024M
46,Greece,128.9,41.4,53.5,57.2,53.2,11.7,33.7,51.7,93.1,2024M
47,Bosnia And Herzegovina,127.2,45.3,57.5,54.8,36.7,11.7,26.4,60.7,82.3,2024M
48,Mexico,125.0,39.9,45.9,72.6,42.4,8.6,39.2,58.5,85.5,2024M
49,Malaysia,123.4,57.8,48.4,70.0,32.3,8.9,37.0,61.5,59.2,2024M
50,Malta,121.8,51.7,60.0,52.0,59.4,11.3,28.9,75.7,97.4,2024M
51,Ecuador,119.8,35.8,39.3,67.9,34.2,11.3,37.8,58.7,94.5,2024M
52,Turkey,118.3,32.5,59.8,71.1,27.1,13.9,43.8,64.7,85.8,2024M
53,Belarus,117.0,35.9,48.6,47.7,36.3,13.6,30.7,44.4,64.4,2024M
54,Panama,116.8,33.3,55.9,60.7,48.2,11.7,35.1,56.0,67.8,2024M
55,Jordan,116.3,34.9,59.3,65.1,45.3,7.4,40.6,76.2,89.0,2024M
56,India,116.1,61.7,55.6,65.2,22.9,9.9,46.4,72.8,64.5,2024M
57,Georgia,116.0,25.2,73.8,54.5,40.6,13.2,36.3,68.2,84.2,2024M
58,Serbia,113.1,34.9,61.5,52.2,40.5,17.6,30.8,64.7,83.2,2024M
59,Argentina,110.2,33.9,36.0,68.3,30.3,22.3,44.3,51.0,98.3,2024M
60,North Macedonia,109.4,35.9,59.3,55.1,32.5,13.7,25.5,79.6,78.6,2024M
61,Azerbaijan,108.5,28.6,68.3,47.5,30.6,14.7,39.5,73.4,91.4,2024M
62,Ukraine,107.3,31.2,53.2,55.3,30.7,14.2,37.7,62.0,70.7,2024M
63,Brazil,106.8,28.0,33.9,58.6,37.7,16.8,40.7,52.9,94.4,2024M
64,Hong Kong (China),105.5,68.8,78.3,65.6,72.4,42.1,42.3,67.2,83.6,2024M
65,China,105.1,58.2,74.2,67.6,36.5,33.0,39.2,78.8,79.4,2024M
66,Morocco,104.7,31.2,52.9,45.4,30.1,14.5,37.0,69.4,90.0,2024M
67,Russia,104.2,40.2,60.3,60.0,32.1,16.7,43.9,60.7,48.9,2024M
68,Kenya,103.5,31.0,43.2,61.5,28.9,13.6,51.6,69.2,99.8,2024M
69,Pakistan,101.4,22.0,57.2,59.5,17.6,14.0,38.1,73.5,71.9,2024M
70,Colombia,99.2,27.9,39.2,68.2,27.6,18.1,47.4,62.9,82.9,2024M
71,Chile,99.1,33.9,41.3,63.6,47.7,16.2,36.2,77.2,90.2,2024M
72,Thailand,98.5,31.7,61.7,77.9,38.5,25.8,38.9,75.4,69.4,2024M
73,Kazakhstan,96.5,33.1,53.6,60.4,34.3,10.9,35.8,73.0,39.8,2024M
74,Indonesia,92.0,24.7,54.1,60.6,30.8,19.7,42.9,67.3,59.7,2024M
75,Vietnam,89.3,30.3,55.9,59.9,34.5,24.1,29.3,84.2,71.1,2024M
76,Egypt,88.6,17.4,53.0,47.7,21.7,12.5,48.5,82.9,90.8,2024M
77,Lebanon,82.4,19.4,53.5,62.4,53.1,24.6,38.4,89.4,94.7,2024M
78,Philippines,82.1,21.0,57.4,67.4,35.9,31.0,42.8,72.9,68.2,2024M
79,Peru,80.3,28.0,32.5,56.3,33.6,18.9,49.1,83.0,97.7,2024M
80,Iran,77.6,21.6,50.2,52.3,28.4,22.2,47.2,75.5,65.7,2024M
81,Sri Lanka,76.5,14.6,57.8,71.5,33.8,35.3,56.4,59.6,59.1,2024M
82,Venezuela,74.4,11.3,17.9,39.2,41.8,17.1,32.8,75.5,99.9,2024M
83,Bangladesh,69.5,26.2,37.5,42.0,26.2,12.8,57.4,85.2,72.9,2024M
84,Nigeria,49.5,9.4,34.2,48.0,23.2,18.2,62.8,88.2,60.8,2024M
1,Luxembourg,207.3,148.9,65.6,76.3,65.3,9.1,26.1,21.8,82.6,2024
2,Netherlands,198.5,103.3,73.7,78.9,64.3,7.4,23.7,21.8,87.1,2024
3,Iceland,194.9,109.1,74.6,67.1,85.7,5.6,21.9,15.8,68.8,2024
4,Denmark,193.6,103.3,73.7,78.0,75.2,6.8,28.7,21.9,82.5,2024
5,Finland,190.4,97.3,73.7,77.3,65.5,8.3,26.0,12.0,58.9,2024
6,Oman,187.0,109.6,81.0,61.0,44.4,3.1,21.9,38.4,67.2,2024
7,Switzerland,186.7,118.9,74.7,72.6,112.2,11.1,33.1,22.2,79.2,2024
8,Norway,184.2,94.9,67.4,75.7,79.2,7.8,26.8,18.6,71.4,2024
9,Austria,181.5,84.4,70.7,76.6,66.8,11.0,24.1,21.8,77.8,2024
10,Estonia,180.1,69.0,76.2,76.3,53.0,10.2,21.8,16.7,64.3,2024
11,Japan,177.6,99.5,77.4,79.3,50.7,10.0,40.2,38.6,84.8,2024
12,Germany,176.5,101.0,61.1,71.7,62.7,9.8,30.3,29.2,82.7,2024
13,Spain,176.5,78.2,63.8,77.6,48.4,7.4,26.4,35.6,94.4,2024
14,Sweden,175.0,94.6,51.6,68.6,62.2,8.1,29.1,17.7,74.0,2024
15,United States,174.0,120.9,50.7,67.6,72.9,4.1,33.8,37.1,78.9,2024
16,Slovenia,173.4,68.0,75.8,66.5,49.3,11.2,25.2,22.4,76.1,2024
17,New Zealand,168.4,93.0,52.3,67.7,68.2,10.5,35.6,28.1,95.5,2024
18,Qatar,165.9,127.4,84.0,72.3,55.0,6.7,31.0,60.5,36.0,2024
19,Lithuania,165.0,61.8,67.2,74.4,48.4,11.1,23.8,26.9,67.8,2024
20,Portugal,164.1,46.5,68.8,72.7,46.6,12.6,27.9,28.7,97.3,2024
21,Croatia,164.0,58.0,74.0,65.1,46.9,13.4,26.0,31.3,89.0,2024
22,Australia,163.8,93.6,52.9,69.8,72.8,11.0,42.8,29.4,93.8,2024
23,Czech Republic,163.6,64.9,73.2,75.5,48.6,12.9,29.2,34.8,79.1,2024
24,United Arab Emirates,163.2,98.7,84.4,69.2,57.8,4.2,37.4,49.0,45.8,2024
25,Singapore,160.9,103.0,76.5,70.6,81.9,14.9,41.4,33.3,57.5,2024
26,United Kingdom,160.3,90.1,52.6,73.5,63.7,9.9,34.6,40.5,87.7,2024
27,Belgium,156.5,90.7,50.8,75.3,63.0,6.8,35.5,49.7,86.0,2024
28,Saudi Arabia,155.1,105.1,73.1,60.4,47.4,3.2,30.9,64.1,55.3,2024
29,Ireland,153.9,82.0,53.5,51.8,66.5,7.5,37.8,34.2,88.6,2024
30,Taiwan,152.9,80.0,83.3,86.0,49.0,19.5,31.6,63.9,83.0,2024
31,Latvia,152.5,51.9,62.6,62.6,51.4,9.4,29.0,30.8,74.7,2024
32,France,152.0,83.4,44.7,78.1,66.0,12.3,34.8,43.4,90.6,2024
33,Canada,150.2,83.3,54.8,69.1,68.4,11.0,34.6,30.2,51.4,2024
34,Israel,148.9,79.5,67.6,73.5,67.2,14.2,36.8,57.0,93.8,2024
35,Slovakia,148.7,55.8,68.9,59.2,47.9,14.5,27.4,37.2,78.1,2024
36,Cyprus,148.3,59.4,67.6,57.2,57.1,8.1,23.4,56.4,92.8,2024
37,South Korea,142.3,90.6,75.1,82.7,64.4,19.9,40.4,61.4,68.4,2024
38,Kuwait,140.1,128.5,67.2,57.9,43.4,7.7,35.0,68.0,20.2,2024
39,South Africa,139.9,84.7,24.6,64.0,33.8,3.3,38.7,56.3,95.3,2024
40,Italy,139.1,62.8,52.7,65.6,58.9,10.7,32.8,54.0,91.1,2024
41,Uruguay,139.1,47.0,47.8,68.4,55.3,10.3,37.8,43.4,98.0,2024
42,Poland,137.4,66.2,69.3,55.4,41.9,12.2,32.9,57.5,75.9,2024
43,Bulgaria,133.5,52.6,62.9,57.2,38.7,8.9,29.1,63.3,82.8,2024
44,Hungary,133.2,49.8,66.3,54.0,43.4,13.8,35.8,48.0,79.5,2024
45,Romania,129.2,48.4,66.3,56.3,38.8,11.0,33.3,58.9,74.9,2024
46,Bosnia And Herzegovina,127.8,47.1,59.1,55.7,34.7,12.5,26.6,60.5,80.5,2024
47,Greece,127.2,42.1,53.3,57.3,54.2,13.6,33.6,52.0,93.8,2024
48,Malaysia,125.8,62.1,49.3,70.1,30.5,8.5,37.1,61.4,57.9,2024
49,Malta,124.8,58.3,58.8,52.3,55.1,11.4,28.2,75.4,97.4,2024
50,Mexico,123.9,38.0,46.2,72.5,43.8,10.7,39.2,58.1,90.0,2024
51,Turkey,123.6,39.3,59.1,70.7,33.8,12.5,44.1,64.7,93.3,2024
52,Hong Kong (China),121.9,84.1,78.2,65.8,71.5,32.1,42.4,66.9,83.6,2024
53,Ecuador,121.2,36.4,37.9,67.6,33.6,11.3,37.2,58.6,99.0,2024
54,Belarus,119.3,39.6,49.2,48.0,27.1,13.7,30.8,44.9,64.4,2024
55,Panama,117.8,34.7,55.7,60.1,47.4,11.1,35.1,55.8,67.8,2024
56,Georgia,117.6,27.9,73.9,54.5,37.2,13.0,38.9,68.4,88.5,2024
57,Jordan,117.0,36.4,59.6,65.0,43.0,7.5,40.6,76.4,89.0,2024
58,Serbia,115.9,39.6,61.7,52.1,38.3,16.8,30.9,65.0,83.2,2024
59,Argentina,112.1,35.8,35.8,68.1,27.8,21.1,44.2,51.1,98.3,2024
60,India,111.8,60.7,55.7,64.9,22.2,13.3,46.8,72.8,63.3,2024
61,China,110.9,60.5,75.1,68.1,34.1,29.6,39.0,78.2,79.7,2024
62,Azerbaijan,109.8,29.4,68.4,47.7,31.1,14.4,39.1,73.1,91.4,2024
63,Brazil,109.1,30.1,34.4,58.9,35.2,16.5,40.6,52.6,95.1,2024
64,North Macedonia,108.0,37.0,59.0,55.1,34.1,14.8,24.9,79.6,76.3,2024
65,Ukraine,107.2,32.2,53.1,55.4,28.6,15.0,37.7,61.8,70.7,2024
66,Russia,106.1,41.5,60.9,60.9,29.5,16.1,43.2,59.6,45.1,2024
67,Kenya,105.3,30.6,43.6,61.1,24.8,12.1,51.2,69.3,99.8,2024
68,Pakistan,104.0,24.5,56.8,59.8,18.5,12.5,38.2,72.9,71.9,2024
69,Morocco,103.2,30.4,53.5,45.1,29.9,15.9,36.1,69.6,88.5,2024
70,Colombia,102.9,28.1,38.8,68.3,30.6,18.7,47.3,62.8,96.7,2024
71,Albania,100.5,31.6,54.4,49.5,40.8,14.1,36.7,77.0,86.4,2024
72,Chile,99.3,36.4,40.7,63.4,39.9,17.5,36.2,77.1,90.2,2024
73,Kazakhstan,98.4,36.8,54.1,60.1,33.5,10.4,35.8,73.6,39.8,2024
74,Thailand,97.7,32.9,62.1,77.2,36.0,26.5,39.0,75.5,67.6,2024
75,Indonesia,94.8,25.8,53.9,60.8,28.5,18.9,43.0,67.4,64.0,2024
76,Vietnam,92.7,32.5,57.8,60.8,30.8,23.7,29.1,83.8,71.2,2024
77,Philippines,85.9,25.9,57.2,67.4,33.6,27.0,43.1,72.5,60.8,2024
78,Egypt,83.8,15.2,52.7,47.5,29.1,16.2,48.1,82.8,92.0,2024
79,Lebanon,81.3,20.7,53.6,63.5,46.3,27.4,38.2,89.4,94.7,2024
80,Peru,80.5,27.3,32.2,56.4,30.9,18.9,49.1,82.7,97.7,2024
81,Iran,77.7,21.2,50.5,53.0,26.9,22.4,46.8,74.8,63.4,2024
82,Venezuela,77.3,12.6,18.8,38.7,39.4,15.2,32.8,75.6,99.9,2024
83,Sri Lanka,76.9,14.4,57.9,71.1,33.2,36.0,54.8,58.8,59.1,2024
84,Bangladesh,69.1,25.8,38.5,42.3,24.9,12.7,57.7,85.6,71.3,2024
85,Nigeria,47.1,9.4,33.8,48.7,19.3,21.1,63.3,87.9,60.8,2024
1,Luxembourg,200.1,133.2,66.0,77.3,71.7,10.1,25.4,22.1,82.6,2023M
2,Netherlands,200.1,106.9,73.8,78.6,67.5,6.7,23.8,21.9,86.7,2023M
3,Iceland,191.1,100.4,75.0,67.2,87.7,5.9,22.3,15.7,68.8,2023M
4,Denmark,190.6,96.9,73.4,78.4,79.2,6.7,28.6,21.9,81.8,2023M
5,Finland,188.1,93.8,73.5,77.5,68.7,8.1,26.4,11.8,56.6,2023M
6,Switzerland,185.8,110.8,75.1,73.4,117.3,11.0,30.2,21.2,79.6,2023M
7,Oman,184.8,106.2,80.4,59.0,49.6,3.2,22.3,36.7,67.2,2023M
8,Austria,183.3,85.6,72.4,76.5,68.7,10.6,23.8,21.1,76.9,2023M
9,Norway,181.8,90.7,67.5,76.6,82.2,8.2,26.5,18.0,68.7,2023M
10,Spain,177.7,83.6,64.2,77.5,49.9,7.1,26.9,36.7,93.7,2023M
11,Estonia,176.4,62.7,75.5,75.9,55.9,10.2,22.2,17.1,64.3,2023M
12,Germany,176.0,100.2,62.0,71.8,66.0,10.2,30.7,29.0,83.3,2023M
13,Japan,175.5,94.3,77.1,79.6,54.3,9.8,39.4,39.0,84.8,2023M
14,Sweden,174.8,95.3,51.9,68.5,60.9,9.1,28.9,17.9,74.9,2023M
15,United Arab Emirates,173.8,118.0,85.4,69.6,60.7,3.3,36.0,47.7,45.8,2023M
16,United States,173.0,117.7,50.8,68.2,74.2,4.2,33.3,36.5,77.8,2023M
17,New Zealand,170.9,87.3,52.9,69.7,70.7,9.9,32.8,25.7,96.4,2023M
18,Slovenia,169.3,59.6,75.8,66.4,51.6,12.1,25.3,22.3,77.6,2023M
19,Qatar,166.6,120.2,85.7,73.5,59.3,5.1,29.5,60.0,36.0,2023M
20,Portugal,166.5,49.8,69.3,72.3,46.1,11.9,27.9,28.8,97.8,2023M
21,Australia,165.7,89.3,53.3,71.4,75.4,9.9,40.7,28.2,93.9,2023M
22,United Kingdom,164.2,94.3,53.1,73.7,63.6,8.4,34.8,40.3,88.3,2023M
23,Czech Republic,162.3,67.9,73.2,75.2,52.8,14.0,29.4,35.2,78.0,2023M
24,Croatia,161.6,54.5,73.9,64.5,47.4,13.4,27.4,31.5,89.7,2023M
25,Lithuania,160.4,54.8,66.8,73.7,49.9,12.6,24.6,26.7,69.9,2023M
26,Belgium,156.4,90.7,51.1,75.2,65.8,6.4,36.0,49.7,86.0,2023M
27,Canada,156.4,90.9,55.2,69.7,68.0,9.6,34.3,29.8,53.9,2023M
28,Ireland,153.2,80.0,53.9,51.9,70.4,7.3,37.5,34.7,89.1,2023M
29,France,153.2,81.5,45.4,78.8,69.1,10.8,35.0,42.8,90.3,2023M
30,Singapore,153.2,85.9,76.9,70.9,85.9,15.7,41.7,33.0,57.5,2023M
31,Latvia,152.6,50.3,62.7,62.7,51.0,8.6,29.2,30.9,74.7,2023M
32,Saudi Arabia,150.7,98.7,75.7,61.4,50.1,2.9,29.8,63.2,41.4,2023M
33,Slovakia,148.2,51.2,68.7,59.7,47.5,13.0,27.6,37.3,78.1,2023M
34,Israel,147.2,76.3,67.8,73.6,70.0,14.7,36.6,57.0,94.0,2023M
35,Cyprus,146.5,52.6,67.4,55.3,59.2,7.2,22.8,55.5,93.3,2023M
36,Taiwan,144.9,67.8,83.9,85.9,53.3,22.1,31.5,65.0,84.1,2023M
37,Italy,140.3,63.8,52.7,65.9,61.0,9.2,33.0,54.6,90.8,2023M
38,Poland,139.6,59.9,70.8,58.9,44.7,11.8,32.0,54.6,75.9,2023M
39,South Korea,138.1,83.5,74.7,83.0,69.2,20.3,39.8,62.2,68.4,2023M
40,South Africa,136.9,78.1,24.5,63.5,34.5,3.3,39.0,56.6,96.0,2023M
41,Uruguay,136.2,40.6,48.1,68.6,61.0,11.1,36.9,42.8,98.0,2023M
42,Hungary,131.6,48.4,66.2,54.2,48.0,14.6,35.4,47.9,79.5,2023M
43,Bulgaria,131.4,49.2,62.5,56.9,40.3,8.7,29.2,63.8,82.8,2023M
44,Romania,129.9,47.5,67.2,56.4,38.4,11.1,33.4,58.9,77.2,2023M
45,Kuwait,129.7,106.9,67.4,58.1,46.1,9.3,35.1,67.9,20.2,2023M
46,Greece,128.9,41.4,53.5,57.2,53.2,11.7,33.7,51.7,93.1,2023M
47,Bosnia And Herzegovina,127.2,45.3,57.5,54.8,36.7,11.7,26.4,60.7,82.3,2023M
48,Mexico,125.0,39.9,45.9,72.6,42.4,8.6,39.2,58.5,85.5,2023M
49,Malaysia,123.4,57.8,48.4,70.0,32.3,8.9,37.0,61.5,59.2,2023M
50,Malta,121.8,51.7,60.0,52.0,59.4,11.3,28.9,75.7,97.4,2023M
51,Ecuador,119.8,35.8,39.3,67.9,34.2,11.3,37.8,58.7,94.5,2023M
52,Turkey,118.3,32.5,59.8,71.1,27.1,13.9,43.8,64.7,85.8,2023M
53,Belarus,117.0,35.9,48.6,47.7,36.3,13.6,30.7,44.4,64.4,2023M
54,Panama,116.8,33.3,55.9,60.7,48.2,11.7,35.1,56.0,67.8,2023M
55,Jordan,116.3,34.9,59.3,65.1,45.3,7.4,40.6,76.2,89.0,2023M
56,India,116.1,61.7,55.6,65.2,22.9,9.9,46.4,72.8,64.5,2023M
57,Georgia,116.0,25.2,73.8,54.5,40.6,13.2,36.3,68.2,84.2,2023M
58,Serbia,113.1,34.9,61.5,52.2,40.5,17.6,30.8,64.7,83.2,2023M
59,Argentina,110.2,33.9,36.0,68.3,30.3,22.3,44.3,51.0,98.3,2023M
60,North Macedonia,109.4,35.9,59.3,55.1,32.5,13.7,25.5,79.6,78.6,2023M
61,Azerbaijan,108.5,28.6,68.3,47.5,30.6,14.7,39.5,73.4,91.4,2023M
62,Ukraine,107.3,31.2,53.2,55.3,30.7,14.2,37.7,62.0,70.7,2023M
63,Brazil,106.8,28.0,33.9,58.6,37.7,16.8,40.7,52.9,94.4,2023M
64,Hong Kong (China),105.5,68.8,78.3,65.6,72.4,42.1,42.3,67.2,83.6,2023M
65,China,105.1,58.2,74.2,67.6,36.5,33.0,39.2,78.8,79.4,2023M
66,Morocco,104.7,31.2,52.9,45.4,30.1,14.5,37.0,69.4,90.0,2023M
67,Russia,104.2,40.2,60.3,60.0,32.1,16.7,43.9,60.7,48.9,2023M
68,Kenya,103.5,31.0,43.2,61.5,28.9,13.6,51.6,69.2,99.8,2023M
69,Pakistan,101.4,22.0,57.2,59.5,17.6,14.0,38.1,73.5,71.9,2023M
70,Colombia,99.2,27.9,39.2,68.2,27.6,18.1,47.4,62.9,82.9,2023M
71,Chile,99.1,33.9,41.3,63.6,47.7,16.2,36.2,77.2,90.2,2023M
72,Thailand,98.5,31.7,61.7,77.9,38.5,25.8,38.9,75.4,69.4,2023M
73,Kazakhstan,96.5,33.1,53.6,60.4,34.3,10.9,35.8,73.0,39.8,2023M
74,Indonesia,92.0,24.7,54.1,60.6,30.8,19.7,42.9,67.3,59.7,2023M
75,Vietnam,89.3,30.3,55.9,59.9,34.5,24.1,29.3,84.2,71.1,2023M
76,Egypt,88.6,17.4,53.0,47.7,21.7,12.5,48.5,82.9,90.8,2023M
77,Lebanon,82.4,19.4,53.5,62.4,53.1,24.6,38.4,89.4,94.7,2023M
78,Philippines,82.1,21.0,57.4,67.4,35.9,31.0,42.8,72.9,68.2,2023M
79,Peru,80.3,28.0,32.5,56.3,33.6,18.9,49.1,83.0,97.7,2023M
80,Iran,77.6,21.6,50.2,52.3,28.4,22.2,47.2,75.5,65.7,2023M
81,Sri Lanka,76.5,14.6,57.8,71.5,33.8,35.3,56.4,59.6,59.1,2023M
82,Venezuela,74.4,11.3,17.9,39.2,41.8,17.1,32.8,75.5,99.9,2023M
83,Bangladesh,69.5,26.2,37.5,42.0,26.2,12.8,57.4,85.2,72.9,2023M
84,Nigeria,49.5,9.4,34.2,48.0,23.2,18.2,62.8,88.2,60.8,2023M
1,Netherlands,196.7,107.8,72.7,77.1,68.6,7.2,25.5,23.7,86.8,2023
2,Denmark,194.7,105.0,73.4,79.2,78.6,6.6,28.5,21.3,81.8,2023
3,Switzerland,193.6,118.7,76.4,74.5,114.2,9.7,28.4,19.6,79.6,2023
4,Luxembourg,192.9,127.1,64.9,75.0,73.2,11.5,29.1,21.9,82.6,2023
5,Finland,190.5,98.8,73.2,77.1,67.5,7.8,27.2,12.0,59.2,2023
6,Iceland,187.5,90.1,75.1,67.0,83.3,7.0,20.6,15.2,68.8,2023
7,Austria,185.8,91.2,72.7,77.2,66.0,10.3,24.8,21.5,77.1,2023
8,Oman,184.7,108.2,80.3,58.2,47.8,3.6,22.6,37.2,67.2,2023
9,Australia,183.0,110.9,54.5,75.3,75.3,7.5,36.1,25.4,93.9,2023
10,Norway,182.7,95.0,66.5,76.7,88.6,8.1,26.7,17.7,68.7,2023
11,Germany,179.0,107.6,62.4,71.9,62.9,10.7,31.2,28.8,83.3,2023
12,New Zealand,176.7,93.0,54.2,71.0,72.9,9.0,31.4,24.2,96.4,2023
13,Japan,176.3,100.4,76.9,80.3,64.6,10.3,40.0,39.2,85.3,2023
14,Sweden,175.8,101.2,51.5,68.6,62.9,9.9,29.4,18.0,74.9,2023
15,United Arab Emirates,175.7,123.4,84.9,69.6,60.3,3.0,36.1,48.2,45.8,2023
16,Spain,173.8,82.5,64.3,77.9,50.6,7.8,29.1,39.6,93.7,2023
17,United States,172.7,115.7,51.0,68.6,72.4,4.5,33.1,36.1,77.3,2023
18,Estonia,171.9,61.4,74.9,74.1,54.8,11.8,23.8,17.9,64.3,2023
19,Slovenia,169.3,61.7,75.8,65.3,50.8,12.1,26.1,22.7,77.6,2023
20,Qatar,167.5,123.6,85.2,73.8,59.5,5.3,29.7,60.0,36.0,2023
21,United Kingdom,166.4,98.9,53.1,74.1,61.5,8.3,34.6,40.4,88.1,2023
22,Portugal,163.8,51.7,68.5,71.5,45.3,12.6,29.5,30.6,97.8,2023
23,Czech Republic,163.6,71.8,73.4,75.5,48.9,14.9,29.5,35.3,78.0,2023
24,Croatia,163.2,56.2,75.4,63.9,46.7,13.2,26.5,32.0,89.7,2023
25,Canada,162.3,102.1,55.7,70.4,66.1,9.4,33.7,29.1,53.2,2023
26,Lithuania,161.5,56.7,67.0,73.2,48.8,12.7,25.0,25.7,69.9,2023
27,Belgium,157.3,94.5,50.9,75.2,65.6,6.5,36.3,50.1,86.0,2023
28,Singapore,154.2,95.6,70.8,70.9,85.9,15.5,41.4,33.1,57.5,2023
29,Ireland,154.0,82.6,54.1,51.8,70.5,7.3,37.9,34.8,89.1,2023
30,France,153.8,86.2,44.7,79.4,68.7,11.8,35.0,42.9,89.7,2023
31,Latvia,153.2,52.9,62.3,62.4,50.9,8.1,29.7,31.5,74.7,2023
32,Saudi Arabia,151.8,101.9,75.4,61.2,50.6,3.0,29.4,63.3,41.4,2023
33,Slovakia,149.7,56.3,68.6,60.1,44.2,13.2,28.1,38.3,78.1,2023
34,Cyprus,148.5,54.8,68.6,54.7,55.9,6.8,22.9,55.3,93.3,2023
35,Israel,148.4,80.5,67.4,73.5,76.4,14.1,36.4,57.4,93.9,2023
36,Taiwan (China),147.8,71.3,83.8,85.9,54.2,20.1,32.0,64.9,83.5,2023
37,Italy,140.9,66.5,53.1,66.3,61.3,9.7,33.5,54.7,90.8,2023
38,Poland,139.9,64.0,70.8,57.6,38.6,13.3,32.1,54.5,76.0,2023
39,South Africa,138.8,83.9,24.6,63.7,37.8,3.4,39.1,56.4,95.3,2023
40,Hungary,134.3,53.1,66.1,54.4,39.2,14.6,35.6,47.7,79.5,2023
41,South Korea,133.0,85.5,74.5,83.0,70.4,26.0,39.8,62.3,68.4,2023
